APOGEE_ID,GC_NAME,dPOS,SNREV,TEFF,LOGG_SPEC,STARFLAG,ASPCAPFLAG,VB_PROB,FE_H,FE_H_ERR,FE_H_FLAG,MG_FE,MG_FE_ERR,MG_FE_FLAG,SI_FE,SI_FE_ERR,SI_FE_FLAG,CA_FE,CA_FE_ERR,CA_FE_FLAG,C_FE,C_FE_ERR,C_FE_FLAG,AL_FE,AL_FE_ERR,AL_FE_FLAG,K_FE,K_FE_ERR,K_FE_FLAG,MN_FE,MN_FE_ERR,MN_FE_FLAG,DENSITY
b'2M17024453-2616377',NGC6273,0.10067493300306177,120.52793,4518.3994,1.0166,0,0,0.99984,-1.3394,0.015742067,0,-0.18331695,0.029804297,0,-0.11431432,0.031860985,0,-0.13456488,0.045247342,0,-0.75883985,0.042994197,0,-0.44761896,0.038563583,0,-0.2544409,0.08703069,0,-0.3889979,0.046197765,0,0.0
b'2M16412975+3631563',NGC6205,0.07917759448434307,150.90004,5074.634,1.3065,0,640,1.0,-1.6872,0.01305626,0,0.19602096,0.03205037,0,0.23987055,0.033107348,0,0.3566749,0.050864648,0,-0.21265006,0.07135557,0,0.4868809,0.032625098,0,0.45675898,0.092541344,0,-0.037298083,0.05062348,0,0.0
b'2M18362035-2357454',NGC6656,0.045451177583487615,140.27739,4939.984,1.6818,0,0,0.9999899999999999,-1.9501,0.015527983,0,0.38293302,0.039761703,0,0.32973063,0.03936352,0,0.31716502,0.066282205,0,0.14722002,0.0891731,0,-0.25691915,0.037426196,0,0.5160589,0.111559175,0,0.30350196,0.065364935,0,0.0
b'2M00231878-7159552',NGC0104,0.0657084948444699,127.06123,4924.0967,2.9159,0,4,0.99998,-0.61894,0.01116407,0,0.302213,0.019467633,0,0.24979061,0.023234881,0,0.148085,0.027172701,0,0.0133600235,0.029302597,0,0.511469,0.03085759,0,0.305669,0.060524326,0,-0.16999799,0.027753072,0,0.0
b'2M18071492-2457397',NGC6544,0.03900643886359237,158.8729,4864.851,1.3037,0,0,0.9999899999999999,-1.5897,0.013163267,0,0.24937296,0.03001437,0,0.2883005,0.030673824,0,0.39742494,0.046231374,0,-0.38918996,0.056459785,0,-0.258219,0.031550486,0,0.33305895,0.086835444,0,-0.282398,0.046864226,0,0.0
b'2M01022062-7049129',NGC0362,0.1315763557821252,82.12612,4974.6016,2.2301,0,0,0.9999899999999999,-1.0706,0.015354498,0,0.030388951,0.030220091,0,0.12367058,0.035282545,0,0.35615492,0.04766142,0,-0.25312006,0.055810843,0,0.31269097,0.043624792,0,0.24348903,0.0906125,0,-0.352098,0.04703777,0,0.0
b'2M19392429-3053510',NGC6809,0.2611733045097455,184.42648,4798.094,1.3616,0,0,0.9997299999999999,-1.6994,0.011829977,0,0.1207999,0.026412088,0,0.1704495,0.026556622,0,0.68509483,0.03903718,0,-0.45104003,0.04586524,0,0.75640094,0.027190913,0,0.31665897,0.076780275,0,-0.28849804,0.040278893,0,0.0
b'2M17355519-4448067',NGC6388,0.18037531681701352,104.6013,3955.9136,1.3153,0,0,0.98685,-0.24699,0.013786128,0,0.11588301,0.0168773,0,0.033667594,0.020086415,0,-0.03170699,0.02139783,0,0.014119998,0.015023463,0,0.022247985,0.03525017,0,0.057088986,0.05109305,0,0.055801988,0.02212969,0,0.0
b'2M15181803+0203503',NGC5904,0.10791451528309487,119.23307,5032.819,1.5381,0,0,1.0,-1.3497,0.013881142,0,0.144158,0.030423906,0,0.21320057,0.033484157,0,-0.19401503,0.047899697,0,-0.32365,0.061534762,0,0.13278091,0.036965154,0,0.021559,0.08979246,0,-0.25459802,0.04756542,0,0.0
b'2M13270546-4724369',NGC5139,0.04019799594786134,85.352646,4017.6716,1.255,0,0,0.9999899999999999,-0.62534,0.016651548,0,0.40506294,0.022680914,0,0.30018055,0.026326505,0,0.22383493,0.031116176,0,0.20959997,0.022074586,0,0.22373098,0.04251547,0,0.15842897,0.067551166,0,-0.33435798,0.03211989,0,0.0
b'2M05241241-2431064',NGC1904,0.030863021668003508,121.96422,4445.0767,0.86781,0,0,0.9999600000000001,-1.5278,0.016686227,0,0.13369906,0.032455392,0,0.20168054,0.03382907,0,-0.29746497,0.050151445,0,-0.6109601,0.046998784,0,0.0040808916,0.03978148,0,0.439659,0.09352352,0,-0.42139792,0.051181346,0,0.0
b'2M21331948-0051034',NGC7089,0.07632987097776409,131.75554,4718.9546,1.3436,0,0,0.99989,-1.3769,0.014288864,0,0.012513995,0.02865331,0,0.13243055,0.030686619,0,-0.035133004,0.043483358,0,-0.31105006,0.04614079,0,0.66766095,0.035509367,0,0.24335897,0.0841523,0,-0.35599804,0.044218656,0,0.0
b'2M09104086-6453277',NGC2808,0.15691674254261473,124.99557,4973.907,1.4713,0,4,0.99998,-1.1105,0.012681108,0,-0.15819705,0.025343178,0,0.1344105,0.028708147,0,-0.26024508,0.037922606,0,-0.74855006,0.045049366,0,0.74672097,0.034022953,0,-1.0160412,0.07638199,0,-0.06309807,0.038217984,0,0.0
b'2M05135945-4005225',NGC1851,0.08006574964698632,87.79296,4502.2065,1.4663,0,64,1.0,-1.2038,0.017520294,0,0.23791301,0.031363517,0,0.2141006,0.034882236,0,0.26279497,0.04840562,0,-0.26224995,0.044181377,0,-0.29411912,0.04532536,0,0.53266895,0.0920932,0,-0.28209805,0.048882104,0,0.0
b'2M19111291-6005115',NGC6752,0.12139518845150296,116.74362,5216.9556,2.7148,0,0,0.99998,-1.3969,0.0135330185,0,0.20336306,0.03174461,0,0.1711607,0.03517793,0,-0.337695,0.051084973,0,0.07096505,0.0743709,0,0.43572104,0.03713411,0,-0.037840962,0.09356074,0,-0.31669796,0.050021604,0,0.0
b'2M18550076-3034068',NGC6715,0.14443389576048365,89.935524,4450.5044,0.74524,0,704,0.99977,-1.5927,0.019643836,0,0.30732298,0.038603816,0,0.17252064,0.0407364,0,-0.10149503,0.06274142,0,-0.56515,0.058860343,0,-0.10641909,0.04859476,0,0.63915896,0.11022504,0,-0.23639798,0.06288018,0,0.0
b'2M16233020-2633241',NGC6121,0.018963117557803583,419.78394,4817.0537,1.4731,0,4,1.0,-1.0666,0.009401466,0,0.25214303,0.018319683,0,0.31901062,0.01957409,0,0.14812505,0.024714671,0,-0.36599994,0.027270056,0,0.3773409,0.022278197,0,0.13355899,0.055600435,0,-0.18739808,0.02600653,0,0.0
b'2M16324438-1302217',NGC6171,0.14356060483654398,95.03975,5242.9814,2.1197,0,640,0.9999100000000001,-1.0851,0.013582914,0,0.31670308,0.029306835,0,0.3624707,0.03440294,0,0.014861107,0.046517562,0,0.15002012,0.06516024,0,0.29617107,0.039577335,0,0.05705905,0.08831226,0,-0.12379789,0.0454619,0,0.0
b'2M16570675-0403104',NGC6254,0.07909055011719482,95.20808,4573.281,1.2288,0,4,0.99998,-1.3683,0.01714644,0,-0.007617116,0.03216909,0,0.16830051,0.035303645,0,-0.0029420853,0.050154373,0,-0.44762003,0.048202362,0,0.7999209,0.043993633,0,0.0076589584,0.094102256,0,0.01660192,0.050537206,0,0.0
b'2M10173646-4628043',NGC3201,0.059861599468253236,77.72729,5023.629,2.2034,0,0,1.0,-1.3793,0.016686609,0,0.16514492,0.035788074,0,0.17799056,0.040622007,0,-0.27920508,0.05920037,0,0.12877691,0.074363366,0,0.29091096,0.046948742,0,0.41205907,0.1052174,0,0.20540202,0.057619773,0,0.0
b'2M13415973+2822567',NGC5272,0.0614493582367722,735.698,4073.74,-0.024715,0,134,1.0,-1.7752,0.01398511,0,-0.08632803,0.027591221,0,0.05115056,0.025944559,0,0.06812501,0.039577715,0,-0.70409,0.03312207,0,-0.49001896,0.027735628,0,0.034959078,0.07792499,0,-0.12559795,0.042277124,0,0.0
